tweet_id,favorite_count,retweet_count,url,created_at,tweet_source
823581115634085888,14166,2983,https://t.co/6F5Rrp472U,Mon Jan 23 17:20:14 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
823333489516937216,761,29,0,Mon Jan 23 00:56:15 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
823322678127919110,17139,4533,https://t.co/stkJ377KK7,Mon Jan 23 00:13:17 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
823269594223824897,0,11108,https://t.co/rLi83ZyCL5,Sun Jan 22 20:42:21 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822975315408461824,18827,3871,https://t.co/NXORbtoMpr,Sun Jan 22 01:12:59 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822872901745569793,144042,49484,https://t.co/nTz3FtorBc,Sat Jan 21 18:26:02 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822859134160621569,14363,2568,https://t.co/b2odGgBYBP,Sat Jan 21 17:31:20 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822647212903690241,0,7211,https://t.co/liJGwMp17E,Sat Jan 21 03:29:14 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822610361945911296,16053,3336,https://t.co/irJJJr0gHz,Sat Jan 21 01:02:48 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822489057087389700,19768,7211,https://t.co/liJGwMp17E,Fri Jan 20 17:00:46 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822462944365645825,31217,16678,https://t.co/q5ulLHbQ5h,Fri Jan 20 15:17:01 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822244816520155136,38184,11108,https://t.co/rLi83ZyCL5,Fri Jan 20 00:50:15 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
822163064745328640,0,5439,https:…,Thu Jan 19 19:25:24 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821886076407029760,12374,2636,https://t.co/djMep7mGkV,Thu Jan 19 01:04:45 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821813639212650496,0,3759,https://t.co/mH0IOyFdIG,Wed Jan 18 20:16:54 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821765923262631936,9186,1868,https://t.co/maDNMETA52,Wed Jan 18 17:07:18 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821522889702862852,8728,1988,https://t.co/REgCuirOhe,Wed Jan 18 01:01:34 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821421320206483457,0,6306,https://t.co…,Tue Jan 17 18:17:58 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821407182352777218,12856,4916,https://t.co/Xn5AQtiqzG,Tue Jan 17 17:21:47 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821153421864615936,275,10,e,Tue Jan 17 00:33:26 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821149554670182400,9537,2271,https://t.co/r8DxA8DYJ2,Tue Jan 17 00:18:04 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821107785811234820,10471,2407,https://t.co/NmJVp6Ls4N,Mon Jan 16 21:32:06 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
821044531881721856,13793,2581,https://t.co/8whqFhaex4,Mon Jan 16 17:20:45 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820837357901512704,0,7545,https://t.co/ii5eNX5…,Mon Jan 16 03:37:31 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820749716845686786,34420,11223,https://t.co/EMq8Ud6Ze1,Sun Jan 15 21:49:15 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820690176645140481,13329,3637,https://t.co/NIYC820tmd,Sun Jan 15 17:52:40 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820494788566847489,0,638,https://t…,Sun Jan 15 04:56:16 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820446719150292993,0,2914,https://t.co/pbKOesr8Tg,Sun Jan 15 01:45:15 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820314633777061888,3643,638,https://t.co/mtNwAQQEQ4,Sat Jan 14 17:00:24 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820078625395449857,21602,7084,https://t.co/wJZlpGFEbD,Sat Jan 14 01:22:35 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
820013781606658049,0,1331,https://…,Fri Jan 13 21:04:55 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
819952236453363712,5813,1331,https://t.co/3UFtdZEa0l,Fri Jan 13 17:00:21 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
819924195358416896,14039,5462,https://t.co/XdRNXNYD4E,Fri Jan 13 15:08:56 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
